"TOA5","13030","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20200813_bjorn.CR6","7440","BVRplatform"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-08-13 11:30:00",0,13.58,28.07,24.40481,24.58697,27.55847,27.45223,27.20611,23.89889,17.31442,14.59451,12.64202,11.27069,0,0,0,3.402131,40.44577,24.03837,-0.027557,-0.243774,9.93717,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",15.41425,9.849361
"2020-08-13 11:40:00",1,13.67,28.06,24.20049,25.14562,27.5848,27.46755,27.23806,23.95629,17.37664,14.62991,12.6156,11.31036,0,0,0,3.487981,41.4901,24.069,-0.041138,-0.36352,9.89178,200813,123808,27.547,28.99,27.65,17.97,116.04,9.16,0.55,2.25,0.03,0.06,3.99,12,1.76,1.244,4.3,12.18,1.18,15.415,9.850223
"2020-08-13 11:50:00",2,13.96,29.01,25.72674,25.98458,27.63268,27.48944,27.25707,24.02621,17.31506,14.58917,12.60183,11.30737,0,0,0,3.588727,42.75448,24.15177,-0.045637,-0.402775,9.839,200813,124808,27.552,28.99,27.64,17.97,115.97,9.15,0.48,1.97,0.04,0.07,4.01,12.07,1.76,1.243,4.31,12.5,1.18,15.41527,9.818236
"2020-08-13 12:00:00",3,13.9,29.13,27.18322,24.55184,27.68218,27.51296,27.25561,24.00317,17.22,14.52188,12.56988,11.30242,0,0,0,3.691039,43.9242,24.09184,-0.046764,-0.41215,9.78086,200813,125808,27.559,28.99,27.64,17.97,116.29,9.18,0.57,2.32,0.02,0.04,4.01,12.06,1.76,1.242,4.31,12.44,1.18,15.41524,9.78199
"2020-08-13 12:10:00",4,13.88,28.94,25.65377,25.50936,27.66146,27.49285,27.16101,23.9635,17.16259,14.45178,12.55651,11.28985,0,0,0,3.622049,43.06695,24.04678,-0.046686,-0.410749,9.706839,200813,130808,27.555,28.98,27.63,17.96,116.62,9.2,0.59,2.4,0.01,0.03,4,12.03,1.76,1.241,4.32,12.42,1.17,15.41637,9.689706
"2020-08-13 12:20:00",5,13.97,29.06,28.09579,25.32995,27.73522,27.50448,27.05657,23.88116,17.08611,14.39459,12.54489,11.27719,0,0,0,3.5198,41.75817,23.92774,-0.047389,-0.416803,9.69398,200813,131808,27.564,28.99,27.64,17.97,116.7,9.21,0.57,2.33,0.03,0.05,3.99,12.02,1.75,1.24,4.32,12.51,1.18,15.41676,9.678298
"2020-08-13 12:30:00",6,13.95,28.86,28.00781,25.17889,27.68746,27.49151,27.01037,23.84262,17.10983,14.41149,12.57568,11.29547,0,0,0,3.319593,39.35075,23.88408,-0.047273,-0.415641,9.67986,200813,132808,27.57,28.99,27.64,17.96,116.99,9.229999,0.64,2.62,0.02,0.04,4.01,12.05,1.75,1.238,4.32,12.51,1.17,15.41568,9.673747
"2020-08-13 12:40:00",7,14,28.83,29.07995,26.86355,27.71832,27.48803,27.04547,23.88,17.18197,14.41809,12.58813,11.30682,0,0,0,3.077914,36.53037,23.9492,-0.04756,-0.417941,9.656941,200813,133808,27.577,29,27.64,17.97,117.23,9.25,0.6,2.45,0,0.02,4,12.04,1.75,1.235,4.32,12.54,1.17,15.41798,9.64685
